Location Type,MaxDepth_mTVD,Petrographic term,Homogeneous / Inhomogenous,Consolidated / Unconsolidated,Value effective porosity (%),Min effective porosity (%),Max effective porosity (%),Measuring Type effective porosity,Remarks effective porosity
Well,1155.4,,,,12.02,,,,
Well,1156.2,,,,13.15,,,,
Well,1156.3,,,,15.47,,,,
Well,1158.1,,,,12.31,,,,
Well,1368.65,,,,12.97,,,,
Well,1158.2,,,,16.83,,,,
Well,1158.3,,,,14.59,,,,
Well,1158.4,,,,14.32,,,,
Well,1165.64,,,,14.55,,,,
Well,1168.55,,,,9.72,,,,
Well,1184.24,,,,12.79,,,,
Well,1196.51,,,,11.86,,,,
Well,1207.91,,,,15.85,,,,
Well,1212.05,,,,9.96,,,,
Well,1216.96,,,,18.32,,,,
Well,1381.44,,,,2.64,,,,
Well,1224.31,,,,18.77,,,,
Well,1229.14,,,,17.61,,,,
Well,1236.98,,,,13.16,,,,
Well,1249.32,,,,12.34,,,,
Well,1252.55,,,,16.21,,,,
Well,1256.68,,,,17.14,,,,
Well,1257.51,,,,18.55,,,,
Well,1265.55,,,,12.55,,,,
Well,1289.22,,,,12.16,,,,
Well,1301.4,,,,14.53,,,,
Well,1391.06,,,,11.54,,,,
Well,1311.08,,,,13.56,,,,
Well,1324.42,,,,15.23,,,,
Well,1327.04,,,,14.37,,,,
Well,1329.62,,,,18.55,,,,
Well,1332.46,,,,15.9,,,,
Well,1335.56,,,,16.01,,,,
Well,1339.92,,,,15.27,,,,
Well,1344.01,,,,15.3,,,,
Well,1398.65,,,,9.51,,,,
Well,1402.08,,,,11.67,,,,
Well,1023.45,,,,7.17,,,,
Well,581.25,,,,11.3,5,18,,
Well,597.25,,,,16.5,11,22,,
Well,982,,,,12,,,,
Well,987,,,,15,,,,
Well,1001,,,,18,,,,
Well,1003.75,,,,30,,,,
Well,1005,,,,23,,,,
Well,863,,,,2,,,,
Well,824,,,,5.7,,,,
Well,846.5,,,,3,,,,
Well,847.5,,,,2,,,,
Well,851.5,,,,1,,,,
Well,868.5,,,,7,5,10,,
Well,973,,,,5,,,,
Well,956.5,,,,2.9,2,5,,
Well,962.5,,,,7.83,4,10,,
Well,968,,,,7.5,4,11,,
Well,989,,,,6.1,,,,
Well,995,,,,5.8,4.9,7,,
Well,821.5,,,,4,2,6,,
Well,849,,,,2,1,3,,
Well,868.5,,,,7.5,5,10,,
Well,808.3,,,,3.2,2,4.4,,
Well,910,,,,2.3,,,,
Well,914,,,,3,,,,
Well,918.5,,,,3,,,,
Well,921,,,,3.5,,,,
Well,937,,,,3,,,,
Well,948,,,,3.67,3.5,4,,
Well,1001.5,,,,5.3,2.8,7.1,,
Well,1010.5,,,,4.8,2.3,7.7,,
Well,1020.5,,,,5.8,2.1,8,,
Well,1038,,,,8.1,4,12.2,,
Well,885.25,,,,15,11,19,,
Well,912,,,,2.5,,,,
Well,933.25,,,,3.25,3,3.5,,
Well,936,,,,3.5,,,,
Well,941,,,,3,,,,
Well,1000.7,,,,4.9,2.8,7,,
Well,1019.5,,,,6.15,2.6,9.7,,
Well,1039.5,,,,7.35,2.4,12.3,,
Well,971.8,,,,7.5,4,11,,
Well,971.8,,,,7.5,4,11,,
Well,977.95,,,,6.85,2.7,11,,
Well,984.85,,,,5.8,1,10.6,,
Well,985.6,,,,5.8,1,10.6,,
Well,1008.95,,,,8.75,4.5,13,,
Well,1016.5,,,,7,,,,
Well,1031.85,,,,24.5,,,,
Well,303.75,,,,20.35,20,20.7,,
Well,327.35,,,,24.3,22.5,26.5,,
Well,496.5,,,,11.2,,,,
Well,575.5,,,,15.3,12.4,18.2,,
Well,613.75,,,,19.5,17.5,21.5,,
Well,671,,,,16.45,12.4,20.5,,
Well,523.2,,,,14.25,10,19,,
Well,539,,,,15,,,,
Well,567.6,,,,22.5,22,23,,
Well,1039.3,,,,25,11.8,26.5,,
Well,352,,,,21.5,,,,
Well,364.2,,,,20,17.5,22.5,,
Well,556.1,,,,21.25,15.5,27,,
Well,603.75,,,,15.25,12.5,18,,
Well,650.15,,,,14.3,13,15.5,,
Well,702.3,,,,19,14.5,23.5,,
Well,1136.8,,,,0.2,,,,
Well,971.5,,,,21,17,28,,
Well,621,,,,11,11,11,,
Well,916.5,,,,14,9,20,,
Well,1047.5,,,,19,8,27,,
Well,1445.5,,,,3.9,,,,
Well,1419.25,,,,10.7,,,,
Well,1428.5,,,,21.5,,,,
Well,807.65,,,,18,,,,
Well,865.15,,,,23,,,,
Well,263.75,,,,21.8,18,28,,
Well,283.25,,,,14,13,15,,
Well,996.15,,,,7.3,,,,
Well,1057.65,,,,12.6,,,,
Well,1063.5,,,,11.9,,,,
Well,1073.8,,,,19.58,12.8,26.1,,
Well,1129.15,,,,7.2,,,,
Well,1149.95,,,,10.3,,,,
Well,888.9,,,,10.4,,,,
Well,974,,,,22.08,16.3,29.4,,
Well,819.75,,,,20.5,14,27,,
Well,819.75,,,,27,,,,
Well,819.75,,,,23,,,,
Well,917.1,,,,12.35,3.3,17.6,,
Well,948.83,,,,12.89,3.5,25,,
Well,929,,,,16.59,6.25,22.8,,
Well,944.5,,,,28.1,27,28.8,,
Well,957.3,,,,24,,,,
Well,954.23,,,,17.57,10.9,27,,
Well,527.2,,,,20.1,,,,
Well,544.5,,,,22.9,,,,
Well,564.85,,,,18.6,,,,
Well,575.75,,,,19.7,15.3,24.1,,
Well,608.4,,,,18.63,13.8,24.9,,
Well,969.05,,,,23.42,18.3,29.6,,
Well,967.5,,,,20,12,26,,
Well,998.4,,,,12,,,,
Well,1084.25,,,,19.6,18.4,21.2,,
Well,1110.2,,,,15.3,5.8,19.5,,
Well,1305.25,,,,5.9,5,6.8,,
Well,984.4,,,,17,,,,
Well,1004.45,,,,12.2,,,,
Well,1007.7,,,,10.7,,,,
Well,1017.9,,,,9.2,,,,
Well,1043.6,,,,20.5,,,,
Well,822.1,,,,21.5,,,,
Well,890.15,,,,28.9,,,,
Well,896.5,,,,24,,,,
Well,906.4,,,,21.5,,,,
Well,959.6,,,,25.25,23,30,,
Well,924.95,,,,24,23,25,,
Well,945.8,,,,26,24,28,,
Well,933.25,,,,28.5,27,30,,
Well,985.5,,,,25.6,,,,
Well,923.9,,,,23.7,,,,
Well,930.2,,,,20.2,,,,
Well,935.05,,,,28.8,,,,
Well,939,,,,19,,,,
Well,950.75,,,,26.6,25.6,27.8,,
Well,509.6,,,,19.5,,,,
Well,988.05,,,,12.57,10,14.5,,
Well,1039.2,,,,12,,,,
Well,1093.9,,,,15.7,,,,
Well,1106.45,,,,25.2,,,,
Well,937.15,,,,23.1,17,27.4,,
Well,920.9,,,,20.3,,,,
Well,887.2,,,,11.3,,,,
Well,1079.8,,,,14.47,12.2,16.8,,
Well,911.35,,,,11.2,8.5,13.9,,
Well,919.75,,,,15,11.9,19.3,,
Well,936.05,,,,24.86,20.3,30.4,,
Well,927.25,,,,21.38,18,25,,
Well,1050.45,,,,21.5,,,,
Well,948.4,,,,13.2,,,,
Well,962.1,,,,22.2,19.4,25.7,,
Well,995.25,,,,13.1,,,,
Well,1031.5,,,,22.2,,,,
Well,1049.3,,,,22.5,,,,
Well,903.85,,,,20,13.1,29.3,,
Well,590.4,,,,23.5,15,32,,
Well,679.1,,,,14,,,,
Well,728.55,,,,14,,,,
Well,766.9,,,,13,12,14,,
Well,902.5,,,,15.7,9,24,,
Well,48.25,Sandstone with limestone ciment,,,16.4,,,,
Well,1631.7,Alternating marl and sandstone,,,5.2,,,,
Well,1743.8,Alternating marl and sandstone,,,8.1,,,,
Well,1791.2,Alternating marl and sandstone,,,4.7,,,,
Well,1870.7,Alternating marl and sandstone,,,7.1,,,,
Well,1920.5,Alternating marl and sandstone,,,7,,,,
Well,1950.85,Sandy limestone; sandstone and marl,,,8.6,,,,
Well,1971.4,White sandstone,,,8.4,,,,
Well,1987.7,White sandstone,,,12.1,,,,
Well,98.5,Sandstone with limestone ciment,,,17.1,,,,
Well,149.8,Sandstone with limestone ciment,,,21.3,,,,
Well,192.95,Sandstone with limestone ciment,,,9.5,,,,
Well,260.6,Alternating marl and sandstone,,,14.5,,,,
Well,1184.15,Alternating marl and sandstone,,,7.7,,,,
Well,1474.6,Alternating marl and sandstone,,,6.3,,,,
Well,1528.5,Alternating marl and sandstone,,,5.3,,,,
Well,1563.7,Alternating marl and sandstone,,,5.6,,,,
Well,195.9,Variegated marl and calcareous sandstone,,,16,,,,
Well,100.95,Alternating marl and sandstone,,,18.5,,,,
Well,209,Breccia with limestone element,,,8.9,,,,
Well,388.6,Glauconitic grey limestone and red sandstone limestone,,,2.9,,,,
Well,443.2,Red limestone + or - sandstone,,,3.1,,,,
Well,451.5,Red limestone + or - sandstone,,,3.4,,,,
Well,1367.3,Gray sandstone glauconitic limestone and marl,,,2.8,,,,
Well,1112,"Limestone with ossicles, flint, and marl",,,3,,,,
Well,1292.9,Marl and grey siliceous limestone,,,2.7,,,,
Well,1441.5,"Few pyritic limestone summit, sponges and limestone marl at the base",,,2.3,,,,
Well,1646.35,"Few pyritic limestone summit, sponges and limestone marl at the base",,,2.9,,,,
Well,1734.05,"Few pyritic limestone summit, sponges and limestone marl at the base",,,0.7,,,,
Well,1802.1,"Few pyritic limestone summit, sponges and limestone marl at the base",,,1.9,,,,
Well,1902.75,"Few pyritic limestone summit, sponges and limestone marl at the base",,,1.5,,,,
Well,1956.55,"Few pyritic limestone summit, sponges and limestone marl at the base",,,0.8,,,,
Well,1991.75,"Few pyritic limestone summit, sponges and limestone marl at the base",,,1.3,,,,
Well,2009.9,"Few pyritic limestone summit, sponges and limestone marl at the base",,,2.1,,,,
Well,1112,"Limestone with ossicles, flint, and marl",,,3.6,,,,
Well,2031.95,"Few pyritic limestone summit, sponges and limestone marl at the base",,,0.7,,,,
Well,2057.7,"Few pyritic limestone summit, sponges and limestone marl at the base",,,1.3,,,,
Well,2095.25,Sandstone grey limestone with little veins of sandstone dark gray marl,,,3.3,,,,
Well,2097.4,Sandstone grey limestone with little veins of sandstone dark gray marl,,,2.3,,,,
Well,2102.05,Sandstone grey limestone with little veins of sandstone dark gray marl,,,1.3,,,,
Well,2106.3,Sandstone grey limestone with little veins of sandstone dark gray marl,,,2.1,,,,
Well,2110.15,Sandstone grey limestone with little veins of sandstone dark gray marl,,,1.7,,,,
Well,2114,Sandstone grey limestone with little veins of sandstone dark gray marl,,,2.1,,,,
Well,1122.45,"Limestone with ossicles, flint, and marl",,,3.3,,,,
Well,1122.45,"Limestone with ossicles, flint, and marl",,,2.2,,,,
Well,1122.45,"Limestone with ossicles, flint, and marl",,,3.3,,,,
Well,1122.45,"Limestone with ossicles, flint, and marl",,,2.9,,,,
Well,1229.95,"Limestone with ossicles, flint, and marl",,,4,,,,
Well,1229.95,"Limestone with ossicles, flint, and marl",,,3.6,,,,
Well,1252.6,"Limestone with ossicles, flint, and marl",,,2.4,,,,
Well,318.975,Fine pastry limestone and green clay,,,1.5,,,,
Well,1032.25,"Limestone, dolomite and litte veins of calcite",,,2.2,,,,
Well,1036.75,"Limestone, dolomite and litte veins of calcite",,,2.9,,,,
Well,1043.3,"Limestone, dolomite and litte veins of calcite",,,1.2,,,,
Well,1054.9,"Limestone, dolomite and litte veins of calcite",,,3.1,,,,
Well,1060.8,"Limestone, dolomite and litte veins of calcite",,,2.4,,,,
Well,1063.9,"Limestone, dolomite and litte veins of calcite",,,1.7,,,,
Well,1071.5,"Limestone, dolomite and litte veins of calcite",,,2.8,,,,
Well,1074.9,"Limestone, dolomite and litte veins of calcite",,,3.2,,,,
Well,1079,"Limestone, dolomite and litte veins of calcite",,,2.5,,,,
Well,1083.25,"Limestone, dolomite and litte veins of calcite",,,1.6,,,,
Well,1092.8,"Limestone, dolomite and litte veins of calcite to calcareous sandstone and marl variegated",,,8.3,,,,
Well,1109,Calcareous sandstone and marl variegated,,,4.7,,,,
Well,1183.7,Calcareous sandstone and marl variegated,,,4.9,,,,
Well,1219.2,Calcareous sandstone and marl variegated,,,5.8,,,,
Well,1259.7,Calcareous sandstone and marl variegated,,,4.3,,,,
Well,420.7,"Limestone, dolomite and litte veins of calcite",,,3.7,,,,
Well,615.6,"Limestone, dolomite and litte veins of calcite",,,3.7,,,,
Well,717.6,"Limestone, dolomite and litte veins of calcite",,,1.2,,,,
Well,807.75,"Limestone, dolomite and litte veins of calcite",,,1.1,,,,
Well,895.5,"Limestone, dolomite and litte veins of calcite",,,1.3,,,,
Well,910.15,"Limestone, dolomite and litte veins of calcite",,,1.5,,,,
Well,1021.75,"Limestone, dolomite and litte veins of calcite",,,2,,,,
Well,186.8,Red limestone with chert,,,1.8,,,,
Well,110.6,"Alternating limestone and dolomite, with rare marl",,,1.3,,,,
Well,939.9,"Alternating limestone and dolomite, with rare marl",,,4.8,,,,
Well,953.4,Limestone sandstone and ossicles marl,,,2.6,,,,
Well,970.35,Limestone sandstone and ossicles marl,,,3.8,,,,
Well,994,Limestone sandstone and ossicles marl,,,2.9,,,,
Well,1043.2,Limestone sandstone and ossicles marl,,,2.9,,,,
Well,1089.75,Limestone sandstone and ossicles marl,,,4.7,,,,
Well,1122.8,Limestone sandstone and ossicles marl,,,1.6,,,,
Well,1146.3,Ossicles and flint limestone,,,1.9,,,,
Well,1220.65,Ossicles and flint limestone,,,2,,,,
Well,1290.8,Ossicles and flint limestone,,,3.1,,,,
Well,215,"Alternating limestone and dolomite, with rare marl",,,10.8,,,,
Well,1334.1,Ossicles and flint limestone,,,2.1,,,,
Well,1373.4,Marl sandstone,,,1.7,,,,
Well,1458.45,"Sponges limestone, ferruginous oolith and greenish grey marl",,,1.1,,,,
Well,1470.6,"Sponges limestone, ferruginous oolith and greenish grey marl",,,1.6,,,,
Well,1518.9,"Sponges limestone, ferruginous oolith and greenish grey marl",,,1.5,,,,
Well,1533.3,"Sponges limestone, ferruginous oolith and greenish grey marl to beige limestone pseudo-oolitic, sandstone and ossicles marl",,,2.9,,,,
Well,367.5,"Alternating limestone and dolomite, with rare marl",,,6.8,,,,
Well,456.5,"Alternating limestone and dolomite, with rare marl",,,2,,,,
Well,527.9,"Alternating limestone and dolomite, with rare marl",,,1.7,,,,
Well,573.5,"Alternating limestone and dolomite, with rare marl",,,1.2,,,,
Well,632.75,"Alternating limestone and dolomite, with rare marl",,,1.4,,,,
Well,707.4,"Alternating limestone and dolomite, with rare marl",,,1,,,,
Well,763.5,"Alternating limestone and dolomite, with rare marl",,,1.3,,,,
Well,939.75,"Alternating of limestone, marly-limestone and marl",,,0.85,,,,
Well,978.05,,,,0.8,,,,
Well,302.65,"Glauconitic, sandstone, marly, blackish-grey limestone",,,1.6,,,,
Well,304.35,"Glauconitic, sandstone, marly, blackish-grey limestone",,,0.95,,,,
Well,306.1,"Glauconitic, sandstone, marly, blackish-grey limestone",,,3.95,,,,
Well,307.925,"Glauconitic, sandstone, marly, blackish-grey limestone",,,0.95,,,,
Well,996.65,"Marly variegated clay, often sandly and micaceous",,,9.6,,,,
Well,998.5,"Marly variegated clay, often sandly and micaceous",,,7.2,,,,
Well,1001.45,"Marly variegated clay, often sandly and micaceous",,,8.15,,,,
Well,545.05,"Fine pastry limestone withs little veins of white calcite, green clay",,,0.8,,,,
Well,546.15,"Fine pastry limestone withs little veins of white calcite, green clay",,,0.85,,,,
Well,540.8,"Fine pastry limestone withs little veins of white calcite, green clay",,,0.9,,,,
Well,541.175,"Fine pastry limestone withs little veins of white calcite, green clay",,,0.5,,,,
Well,541.675,"Fine pastry limestone withs little veins of white calcite, green clay",,,0.85,,,,
Well,543.15,"Fine pastry limestone withs little veins of white calcite, green clay",,,0.65,,,,
Well,543.85,"Fine pastry limestone withs little veins of white calcite, green clay",,,0.85,,,,
Well,683.275,Beige-yellowish or white sublithographic limestone,,,0.7,,,,
Well,684.35,Beige-yellowish or white sublithographic limestone,,,0.55,,,,
Well,1125.15,"Grey and beige limestone, finely crystaline",,,1.2,,,,
Well,1125.7,"Grey and beige limestone, finely crystaline",,,1.65,,,,
Well,1126.75,"Grey and beige limestone, finely crystaline",,,0.9,,,,
Well,1128.5,"Grey and beige limestone, finely crystaline",,,1.45,,,,
Well,1129.95,"Grey and beige limestone, finely crystaline",,,0.85,,,,
Well,1130.3,"Grey and beige limestone, finely crystaline",,,1,,,,
Well,1131.55,"Grey and beige limestone, finely crystaline",,,1.3,,,,
Well,1202.4,"Grey and beige limestone, finely crystaline",,,1.25,,,,
Well,1203.55,"Grey and beige limestone, finely crystaline",,,0.9,,,,
Well,1204.55,"Grey and beige limestone, finely crystaline",,,0.6,,,,
Well,2001.3,"Limestone with ferrugineous oolith, sandstone, marl to clay",,,1.8,,,,
Well,2908.5,"Alternating of dolomite, anhydrite and clay to dolomite, variegated clay, anhydrite and green greywacke",,,3.1,,,,
Well,2926.5,"Dolomite, variegated clay, anhydrite and green greywacke",,,0.6,,,,
Well,2953.5,"Dolomite, variegated clay, anhydrite and green greywacke",,,1.6,,,,
Well,2962.5,"Dolomite, variegated clay, anhydrite and green greywacke",,,0.55,,,,
Well,3029.15,"Dolomite, variegated clay, anhydrite and green greywacke",,,2.5,,,,
Well,3032.4,"Dolomite, variegated clay, anhydrite and green greywacke",,,4.2,,,,
Well,2917.5,"Dolomite, variegated clay, anhydrite and green greywacke",,,0.55,,,,
Well,3037.35,"Dolomite, variegated clay, anhydrite and green greywacke to sandstone, clay and coal",,,4,,,,
Well,1018.5,"Alternating of limestone, dolomite, grey marl and anhydrite",,,10,,,,
Well,1856.5,"Alternating of grey arl and limestone to limestone with ferrugineous oolith, sandstone, marl to clay",,,7.05,,,,
Well,2463.75,Calcareous clay to blackish-grey pyritic marl,,,2.7,,,,
Well,2471.9,Alternating of grey pyritic marl and limestone,,,2.65,,,,
Well,2530.7,Alternating of grey pyritic marl and limestone to foliated clay,,,1.55,,,,
Well,334.75,"Clay, pyritic sandstone, mark of gypsum and lignite",,,10.9,,,,
Well,3157.5,"Limestone, marl, anhydrite and calcite",,,10.5,,,,
Well,3217.5,"Limestone, marl, anhydrite and calcite",,,10.5,,,,
Well,3242.5,"Limestone, marl, anhydrite and calcite",,,10.5,,,,
Well,3260.5,"Limestone, marl, anhydrite and calcite",,,10.5,,,,
Well,4339,Grey light monocrystaline dolomite and claymicritic sandstone,,,8,,,,
Well,4433,Grey light monocrystaline dolomite and claymicritic sandstone,,,8,,,,
Well,2715,"Red limestone, hybrid marble and layer of ""corraterie""",,,6.5,,,,
Well,82,Series predominantly sandstone,,,23.6,,,,
Well,119,Series predominantly sandstone,,,7.3,,,,
Well,119.85,Series predominantly sandstone,,,29.5,,,,
Well,122.4,Series predominantly sandstone,,,19.6,,,,
Well,123.7,Series predominantly sandstone,,,16.2,,,,
Well,124.6,Series predominantly sandstone,,,32.1,,,,
Well,126.3,Series predominantly sandstone,,,34,,,,
Well,128,Series predominantly sandstone,,,25.4,,,,
Well,128,Series predominantly sandstone,,,25.6,,,,
Well,130,Series predominantly sandstone,,,13.2,,,,
Well,130,Series predominantly sandstone,,,15,,,,
Well,82,Series predominantly sandstone,,,23.6,,,,
Well,136,Series predominantly sandstone,,,24.4,,,,
Well,136,Series predominantly sandstone,,,22.9,,,,
Well,138,Series predominantly sandstone,,,6.4,,,,
Well,138,Series predominantly sandstone,,,6,,,,
Well,140,Series predominantly sandstone,,,23,,,,
Well,140,Series predominantly sandstone,,,22.1,,,,
Well,142,Series predominantly sandstone,,,10.3,,,,
Well,142,Series predominantly sandstone,,,9.5,,,,
Well,144,Series predominantly sandstone,,,23.2,,,,
Well,144,Series predominantly sandstone,,,22.7,,,,
Well,107,Series predominantly sandstone,,,18.6,,,,
Well,176,Series predominantly sandstone,,,8.5,,,,
Well,176,Series predominantly sandstone,,,7.7,,,,
Well,230,Series predominantly clayey limestone,,,6.4,,,,
Well,230,Series predominantly clayey limestone,,,6.2,,,,
Well,107,Series predominantly sandstone,,,18.7,,,,
Well,110,Series predominantly sandstone,,,19.2,,,,
Well,110,Series predominantly sandstone,,,19.9,,,,
Well,112,Series predominantly sandstone,,,23.4,,,,
Well,112,Series predominantly sandstone,,,23.6,,,,
Well,119,Series predominantly sandstone,,,8.8,,,,
Well,291,Solid limestone,,,1.5,,,,
Well,291,Solid limestone,,,1.2,,,,
Well,274.4,Siderolitic sandstone,,,23.9,,,,
Well,278.4,Siderolitic sandstone,,,2.8,,,,
Well,135.53,Series predominantly sandstone,,,24.1,,,,
Well,243.85,Series predominantly sandstone,,,14.45,,,,
Well,244.815,Series predominantly sandstone,,,14.45,,,,
Well,135.945,Series predominantly sandstone,,,24.1,,,,
Well,137.395,Series predominantly sandstone,,,24.1,,,,
Well,173.455,Series predominantly sandstone,,,29,,,,
Well,176.405,Series predominantly sandstone,,,29,,,,
Well,186.17,Series predominantly sandstone,,,20.25,,,,
Well,187.925,Series predominantly sandstone,,,20.25,,,,
Well,189.795,Series predominantly sandstone,,,20.25,,,,
Well,191.485,Series predominantly sandstone,,,20.25,,,,
Well,120.94,Series predominantly sandstone,,,28.3,,,,
Well,136.025,Series predominantly sandstone,,,29.75,,,,
Well,136.375,Series predominantly sandstone,,,29.75,,,,
Well,137.335,Series predominantly sandstone,,,29.75,,,,
Well,137.15,Series predominantly sandstone,,,30.1,,,,
Well,138.195,Series predominantly sandstone,,,29.75,,,,
Well,138.645,Series predominantly sandstone,,,29.75,,,,
Well,138.8,Series predominantly sandstone,,,29.4,,,,
Well,139,Series predominantly sandstone,,,13.9,,,,
Well,147,Series predominantly sandstone,,,14.7,,,,
Well,152.515,Series predominantly sandstone,,,24.95,,,,
Well,121.55,Series predominantly sandstone,,,28.3,,,,
Well,151.39,Series predominantly sandstone,,,18.9,,,,
Well,153.45,Series predominantly sandstone,,,31,,,,
Well,164.35,Series predominantly sandstone,,,7.6,,,,
Well,165,Series predominantly sandstone,,,21,,,,
Well,173,Series predominantly sandstone,,,12.7,,,,
Well,180.7,Series predominantly sandstone,,,14.7,,,,
Well,182.5,Series predominantly sandstone,,,13.5,,,,
Well,190,Series predominantly sandstone,,,14.7,,,,
Well,194,Series predominantly sandstone,,,4.9,,,,
Well,203,Series predominantly sandstone,,,21.2,,,,
Well,122.25,Series predominantly sandstone,,,28.3,,,,
Well,211,Series predominantly sandstone,,,7.8,,,,
Well,213,Series predominantly clayey limestone,,,11.4,,,,
Well,225,Series predominantly clayey limestone,,,7.9,,,,
Well,227.1,Series predominantly clayey limestone,,,12.5,,,,
Well,234.9,Series predominantly clayey limestone,,,3.5,,,,
Well,249.2,Series predominantly clayey limestone,,,16.2,,,,
Well,121.85,Series predominantly sandstone,,,28.1,,,,
Well,122,Series predominantly sandstone,,,23.5,,,,
Well,123.36,Series predominantly sandstone,,,28.5,,,,
Well,123.6,Series predominantly sandstone,,,28.3,,,,
Well,126,Series predominantly sandstone,,,10.8,,,,
Well,130,Series predominantly sandstone,,,9.1,,,,
